id;part_type;producer;price;FK_id_repair
329;Axle shaft;A1 Cardone;100;298
330;Tie rod end;Mevotech;50;301
331;Fuel filter;Wix;50;304
332;Oil change;Mobil 1;150;306
333;Tie rod end;Mevotech;50;273
334;Wheel cylinder;Raybestos;50;275
335;Transmission fluid cooler;Hayden;50;276
336;Transmission fluid change;Valvoline;200;277
337;Wheel hub assembly;Timken;200;283
338;Exhaust manifold;Dorman;100;283
339;Exhaust manifold;Dorman;100;290
340;Camshaft position sensor;Dorman;100;278
341;Tie rod end;Mevotech;50;286
342;Power steering pump;Cardone;150;289
343;Control arm;Moog;75;291
344;Power steering pump;Cardone;150;294
345;Suspension strut;Monroe;200;306
346;Wheel lug nuts;Dorman;25;313
347;Serpentine belt;Gates;75;287
348;Windshield wipers;Rain-X;50;315
349;Wheel bearing;SKF;50;321
350;Engine mount;DEA;50;322
351;Camshaft position sensor;Dorman;100;323
352;Fuel pressure regulator;Delphi;25;284
353;Power steering pump;Cardone;150;285
354;Fuel pump;Delphi;150;293
355;Transmission speed sensor;ACDelco;25;294
356;EGR valve;Standard Motor Products;50;295
357;Oxygen sensor;Bosch;150;298
358;Wheel lug nuts;Dorman;25;306
359;Ignition switch;Standard Motor Products;25;312
360;Transmission fluid cooler;Hayden;50;316
361;Catalytic converter;MagnaFlow;300;303
362;Water pump;Airtex;200;308
363;Ignition coil;Delphi;100;309
364;Exhaust manifold;Dorman;100;327
365;Ball joint;Moog;50;296
366;Air filter;Fram;50;308
367;Exhaust manifold;Dorman;100;316
368;Engine control module;A1 Cardone;200;318
369;Wheel alignment;-;400;327
370;Oxygen sensor;Bosch;150;336
371;Fuel filter;Wix;50;310
372;Fuel pressure regulator;Delphi;25;315
373;Engine control module;A1 Cardone;200;317
374;Transmission mount;Westar;25;327
375;Serpentine belt;Gates;75;332
376;Exhaust manifold;Dorman;100;338
377;Windshield wipers;Rain-X;50;338
378;Air filter;Fram;50;308
379;Oxygen sensor;Bosch;150;313
380;Spark plugs;NGK;25;321
381;Brake caliper;Cardone;50;335
382;Wheel alignment;-;400;339
383;Fuel tank;Spectra Premium;200;341
384;CV joint;GSP;100;314
385;Oxygen sensor;Bosch;150;330
386;Transmission shift cable;Pioneer Cables;50;344
387;Engine control module;A1 Cardone;200;320
388;Radiator fan assembly;TYC;100;322
389;Shock absorber;KYB;75;337
390;Engine control module;A1 Cardone;200;340
391;EGR valve;Standard Motor Products;50;343
392;Transmission control module;ACDelco;200;353
393;Fuel injector;Bosch;100;344
394;Control arm bushing;Dorman;25;349
395;Transmission pan gasket;Fel-Pro;25;351
397;Transmission fluid cooler;Hayden;50;331
397;Transmission fluid cooler;Hayden;50;331
398;Battery;AC Delco;350;332
399;Ignition switch;Standard Motor Products;25;335
400;Power steering hose;Gates;100;337
401;Fuel tank filler neck;Dorman;50;341
402;Wheel cylinder;Raybestos;50;343
403;Power steering hose;Gates;100;353
404;Power steering pump;Cardone;150;363
405;Battery;AC Delco;350;364
406;Fuel pump;Delphi;150;369
407;Oil change;Mobil 1;150;342
408;Brake master cylinder;Centric;100;345
409;PCV valve;Standard Motor Products;25;347
410;Fuel pressure regulator;Delphi;25;359
411;Catalytic converter;MagnaFlow;300;371
412;Transmission pan gasket;Fel-Pro;25;372
413;Engine mount;DEA;50;342
414;Throttle body;Dorman;75;349
415;Ignition control module;ACDelco;50;366
416;Fuel injector;Bosch;100;371
417;Power steering hose;Gates;100;353
418;Serpentine belt;Gates;75;358
419;Fuel filter;Wix;50;372
420;Control arm;Moog;150;357
421;Headlight bulb;Philips;25;358
424;Fuel pressure regulator;Delphi;25;368
423;Catalytic converter;MagnaFlow;300;367
424;Fuel pressure regulator;Delphi;25;368
425;Engine control module;A1 Cardone;200;373
426;Engine control module;A1 Cardone;200;375
427;Fuel filter;Wix;50;358
428;Suspension strut;Monroe;200;362
429;Tie rod end;Mevotech;50;364
430;Transmission fluid cooler;Hayden;50;381
431;Ignition switch;Standard Motor Products;25;392
432;Headlight assembly;TYC;100;360
433;Wheel hub assembly;Timken;200;361
434;Tie rod end;Mevotech;50;366
435;Transmission shift cable;Pioneer Cables;50;373
436;Fuel tank filler neck;Dorman;50;374
437;Transmission speed sensor;ACDelco;25;393
438;Transmission shift cable;Pioneer Cables;50;396
439;Exhaust manifold;Dorman;100;366
440;Transmission mount;Anchor;50;369
441;Brake fluid flush;Castrol;100;370
442;Drive belt;Gates;25;371
443;Drive belt;Gates;25;379
444;EGR valve;ACDelco;75;387
445;Axle shaft;A1 Cardone;100;390
446;Mass airflow sensor;Spectra Premium;150;393
447;Ignition switch;ACDelco;50;403
448;Exhaust hanger;Walker;25;382
449;Transmission shift cable;Pioneer Cables;50;390
450;Clutch kit;Exedy;200;391
451;Ball joint;Moog;50;391
452;Transmission mount;Anchor;50;392
453;Transmission speed sensor;ACDelco;25;397
454;Ignition coil;Delphi;100;401
455;EGR valve gasket;Fel-Pro;25;401
456;Wheel alignment;-;400;405
457;Tie rod end;Mevotech;50;408
458;Wheel alignment;-;400;378
459;Ignition control module;ACDelco;50;386
460;Oxygen sensor;Bosch;150;405
461;Throttle body;Dorman;75;384
462;Oxygen sensor;Bosch;150;387
463;Brake master cylinder;Centric;100;393
464;Fuel injector;Bosch;100;398
465;Wheel lug nuts;Dorman;25;399
466;Alternator;Bosch;300;409
467;Transmission speed sensor;ACDelco;25;411
468;Power steering hose;Gates;100;417
469;Clutch kit;Exedy;200;388
470;Suspension strut;Monroe;200;398
471;Water pump;Airtex;200;401
472;Brake fluid flush;Castrol;100;420
473;Radiator fan assembly;TYC;100;399
474;Ignition coil;Bosch;50;403
475;Suspension strut;Monroe;200;403
476;Shock absorber;KYB;75;407
477;Power steering pump;Cardone;150;411
478;Catalytic converter;MagnaFlow;300;413
479;Suspension strut;Monroe;200;416
480;Drive belt;Gates;25;417
481;Wheel cylinder;Raybestos;50;431
482;Clutch kit;Exedy;200;404
483;Exhaust hanger;Walker;25;408
484;Wheel hub assembly;Timken;200;412
485;PCV valve;Standard Motor Products;25;423
486;Transmission fluid cooler;Hayden;50;429
487;Power steering pump;Cardone;150;408
488;Throttle body;Dorman;75;410
489;Shock absorber;KYB;75;434
490;Transmission filter;Fram;50;436
491;Control arm;Dorman;50;406
492;Transmission speed sensor;ACDelco;25;410
493;Ignition coil;Bosch;50;427
494;EGR valve;ACDelco;75;435
495;Wheel hub assembly;Timken;200;441
496;Engine mount;DEA;50;411
497;Transmission fluid cooler;Hayden;50;424
498;Exhaust manifold;Dorman;100;429
499;Mass airflow sensor;Spectra Premium;150;424
500;Oxygen sensor;Bosch;150;431
501;PCV valve;Standard Motor Products;25;431
502;EGR valve;ACDelco;75;437
503;Exhaust manifold;Dorman;100;441
504;Blower motor;TYC;75;446
505;Engine control module;A1 Cardone;200;453
506;Alternator;Bosch;300;420
507;Transmission filter;Fram;50;424
508;Air filter;Fram;50;435
509;Wheel hub assembly;Timken;200;448
510;Power steering hose;Gates;100;456
511;Wheel bearing;SKF;50;427
512;EGR valve;Standard Motor Products;50;434
513;Fuel tank filler neck;Dorman;50;438
514;Radiator fan assembly;TYC;100;459
515;Thermostat;Stant;50;460
516;Brake master cylinder;Centric;100;433
517;CV joint;GSP;100;439
518;Serpentine belt;Gates;75;448
519;Transmission shift cable;Pioneer Cables;50;458
520;Headlight assembly;TYC;100;459
524;Transmission fluid change;Valvoline;200;447
522;Oil change;Mobil 1;150;437
523;EGR valve;ACDelco;75;446
524;Transmission fluid change;Valvoline;200;447
525;Brake master cylinder;Centric;100;451
526;EGR valve gasket;Fel-Pro;25;462
527;Radiator;Denso;350;469
528;Engine oil cooler;Dorman;75;440
529;Water pump;Airtex;200;443
530;Radiator;Denso;350;449
531;MAP sensor;Standard Motor Products;50;455
532;Transmission fluid cooler;Hayden;50;459
533;Control arm;Moog;75;468
534;Thermostat;Stant;50;469
535;Radiator fan assembly;TYC;100;470
536;Radiator;Denso;350;472
537;PCV valve;Standard Motor Products;25;474
538;Battery;AC Delco;350;477
539;Spark plugs;NGK;25;452
540;Transmission mount;Westar;25;461
541;Transmission shift cable;Pioneer Cables;50;465
542;Shock absorber;KYB;75;467
543;EGR valve gasket;Fel-Pro;25;475
544;Wheel hub assembly;Timken;200;477
545;Crankshaft position sensor;Beck/Arnley;50;455
546;Control arm bushing;Febi;50;462
547;Transmission fluid change;Valvoline;200;470
548;Control arm;Dorman;50;470
549;Fuel pressure regulator;Delphi;25;473
550;EGR valve gasket;Fel-Pro;25;460
551;Windshield wipers;Rain-X;50;462
552;Wheel lug nuts;Dorman;25;465
553;Axle shaft;A1 Cardone;100;466
554;Transmission fluid change;Valvoline;200;471
555;MAP sensor;Standard Motor Products;50;475
556;Exhaust manifold;Dorman;100;481
557;Ignition coil;Delphi;100;482
558;EGR valve;Standard Motor Products;50;489
559;Power steering hose;Gates;100;460
560;Control arm bushing;Febi;50;474
561;Ball joint;Moog;50;489
562;Oil change;Mobil 1;150;471
563;Air filter;Fram;50;474
564;Radiator fan assembly;TYC;100;479
565;Transmission control module;ACDelco;200;480
566;Engine control module;A1 Cardone;200;491
567;Brake fluid flush;Castrol;100;493
568;Fuel pump;Delphi;150;496
569;Fuel tank filler neck;Dorman;50;497
570;Tie rod end;Mevotech;50;501
571;Blower motor;TYC;75;504
572;EGR valve;ACDelco;75;477
573;Oxygen sensor;Bosch;150;478
574;Control arm bushing;Dorman;25;499
575;Fuel injector;Bosch;100;501
576;Drive belt;Gates;25;504
577;Axle shaft;A1 Cardone;100;505
578;Brake fluid flush;Castrol;100;506
579;Brake master cylinder;Centric;100;483
580;Fuel pump;Delphi;150;483
581;Transmission speed sensor;ACDelco;25;484
582;EGR valve gasket;Fel-Pro;25;488
583;Tire rotation;-;100;492
584;Brake caliper;Cardone;50;503
585;Fuel filter;Wix;50;505
586;Ignition switch;Standard Motor Products;25;482
587;Ignition switch;ACDelco;50;482
588;Catalytic converter;MagnaFlow;300;485
589;Engine oil cooler;Dorman;75;486
590;Fuel tank filler neck;Dorman;50;491
591;Wheel hub assembly;Timken;200;493
592;Spark plugs;NGK;25;507
593;EGR valve;ACDelco;75;495
594;Thermostat;Stant;50;503
595;Fuel pump;Delphi;150;510
596;Ignition switch;ACDelco;50;514
597;Tie rod end;Mevotech;50;518
598;Fuel pressure regulator;Delphi;25;519
599;Fuel tank;Spectra Premium;200;521
600;Brake master cylinder;Centric;100;522
601;Transmission mount;Anchor;50;492
602;Muffler;Walker;100;500
603;Brake fluid flush;Castrol;100;514
604;Control arm bushing;Dorman;25;527
605;Wheel cylinder;Raybestos;50;502
606;Engine mount;DEA;50;512
607;Brake caliper;Cardone;50;518
608;Wheel lug nuts;Dorman;25;527
609;Oxygen sensor;Bosch;150;521
610;EGR valve gasket;Fel-Pro;25;526
611;Battery;AC Delco;350;506
612;Control arm bushing;Febi;50;510
613;Mass airflow sensor;Spectra Premium;150;512
614;EGR valve;ACDelco;75;514
615;Fuel injector;Bosch;100;515
616;Transmission fluid change;Valvoline;200;522
617;Engine mount;DEA;50;523
618;Clutch kit;Exedy;200;524
619;Radiator fan assembly;TYC;100;526
620;Transmission speed sensor;ACDelco;25;528
621;Tire rotation;-;100;531
622;Radiator;Denso;350;511
623;Radiator fan assembly;TYC;100;526
624;Windshield wipers;Rain-X;50;530
625;Wheel lug nuts;Dorman;25;535
626;EGR valve;Standard Motor Products;50;541
627;Wheel lug nuts;Dorman;25;516
628;Water pump;Airtex;200;523
629;Control arm;Dorman;50;525
630;Tire rotation;-;100;548
631;Wheel hub assembly;Timken;200;553
632;Control arm bushing;Dorman;25;528
633;Engine control module;A1 Cardone;200;554
634;Headlight assembly;TYC;100;556
635;Power steering hose;Gates;100;530
636;Oxygen sensor;Bosch;150;547
637;MAP sensor;Standard Motor Products;50;550
638;Brake pads;Brembo;200;553
639;Engine oil cooler;Dorman;75;538
640;Transmission shift cable;Pioneer Cables;50;540
641;Exhaust hanger;Walker;25;542
642;CV joint;GSP;100;545
643;Brake fluid flush;Castrol;100;545
644;Power steering pump;Cardone;150;548
645;Tire rotation;-;100;566
646;Control arm bushing;Febi;50;567
647;Engine oil cooler;Dorman;75;540
648;Control arm;Moog;75;555
649;Engine mount;DEA;50;568
650;Blower motor;TYC;75;572
651;MAP sensor;Standard Motor Products;50;540
652;Control arm;Moog;150;542
653;Brake pads;Brembo;200;545
654;Fuel filter;Wix;50;546
655;Engine control module;A1 Cardone;200;562
656;Control arm bushing;Dorman;25;568
657;Tie rod end;Mevotech;50;570
658;Headlight assembly;TYC;100;557
659;Engine oil cooler;Dorman;75;564
660;Transmission control module;ACDelco;200;579
661;Control arm;Moog;75;549
662;Transmission mount;Westar;25;573
663;Power steering pump;Cardone;150;576
664;Engine oil cooler;Dorman;75;581
665;Engine mount;DEA;50;583
666;CV joint;GSP;100;584
667;MAP sensor;Standard Motor Products;50;585
668;Exhaust hanger;Walker;25;571
669;Brake master cylinder;Centric;100;573
670;Brake master cylinder;Centric;100;575
671;MAP sensor;Standard Motor Products;50;577
672;Transmission control module;ACDelco;200;578
673;Transmission filter;Fram;50;580
674;Alternator;Bosch;300;581
675;Fuel injector;Bosch;100;589
676;Transmission filter;Fram;50;559
677;Control arm bushing;Dorman;25;569
678;Axle shaft;A1 Cardone;100;584
679;Crankshaft position sensor;Beck/Arnley;50;586
680;Engine oil cooler;Dorman;75;574
681;Power steering pump;Cardone;150;575
682;Radiator fan assembly;TYC;100;576
683;Tie rod end;Mevotech;50;594
684;Transmission fluid cooler;Hayden;50;595
685;Control arm bushing;Febi;50;599
686;Oil change;Mobil 1;150;599
687;Transmission fluid cooler;Hayden;50;600
688;Control arm;Dorman;50;571
689;Wheel lug nuts;Dorman;25;578
690;Windshield wipers;Rain-X;50;590
691;Ignition switch;ACDelco;50;575
692;Serpentine belt;Gates;75;581
693;Axle shaft;A1 Cardone;100;584
694;Fuel injector;Bosch;100;591
695;Ignition switch;ACDelco;50;606
696;EGR valve;ACDelco;75;609
697;Blower motor;TYC;75;583
698;Control arm bushing;Dorman;25;583
699;Tie rod end;Mevotech;50;589
700;Shock absorber;KYB;75;590
701;Water pump;Airtex;200;614
702;CV joint;GSP;100;585
703;Control arm;Moog;75;601
704;Control arm;Moog;75;606
705;Exhaust manifold;Dorman;100;607
706;Control arm bushing;Febi;50;607
707;Catalytic converter;MagnaFlow;300;608
708;Wheel lug nuts;Dorman;25;609
709;Brake master cylinder;Centric;100;617
710;Engine oil cooler;Dorman;75;588
711;Control arm;Dorman;50;593
712;Brake fluid flush;Castrol;100;595
713;Brake master cylinder;Centric;100;595
714;Ignition control module;ACDelco;50;599
715;Ball joint;Moog;50;605
716;Camshaft position sensor;Dorman;100;610
717;Transmission shift solenoid;Rostra;75;614
718;EGR valve gasket;Fel-Pro;25;618
719;Spark plugs;NGK;25;597
720;Battery;AC Delco;350;598
721;Transmission mount;Westar;25;608
722;Exhaust manifold;Dorman;100;610
723;Throttle body;Dorman;75;611
724;EGR valve;ACDelco;75;622
725;Engine mount;DEA;50;616
726;Drive belt;Gates;25;619
727;Radiator;Denso;350;623
728;Headlight bulb;Philips;25;631
729;Radiator fan assembly;TYC;100;602
730;Ignition switch;Standard Motor Products;25;607
731;Oxygen sensor;Bosch;150;609
732;Tie rod end;Mevotech;50;622
733;Control arm bushing;Dorman;25;624
734;Control arm bushing;Febi;50;625
735;Brake fluid flush;Castrol;100;608
736;Transmission control module;ACDelco;200;616
737;Ignition coil;Bosch;50;627
738;Brake master cylinder;Centric;100;630
739;Power steering pump;Cardone;150;639
741;Ignition coil;Delphi;100;612
